#Merge Sort
#N, Recursive, Iterative
#N, R. Time, R. Swap_Comparsion, I. Time, I. Swap_Comparsion
10, 0.000000, 60, 0.000000, 60
15, 0.000000, 175, 0.000000, 160
22, 0.000000, 360, 0.000000, 345
33, 0.000000, 680, 0.000000, 665
49, 0.000000, 1210, 0.000000, 1145
73, 0.000000, 2090, 0.000000, 2035
109, 0.000000, 3505, 0.000000, 3380
163, 0.000000, 5810, 0.000000, 5655
244, 800.000000, 9545, 0.000000, 9170
366, 800.000000, 15580, 0.000000, 15050
549, 800.000000, 25290, 0.000000, 24965
823, 1600.000000, 40845, 0.000000, 40020
1234, 2400.000000, 65565, 0.000000, 64785
1851, 2400.000000, 104790, 800.000000, 102485
2776, 4000.000000, 166985, 1600.000000, 163840
4164, 6400.000000, 264875, 3200.000000, 265195
6246, 9600.000000, 419395, 5600.000000, 417490
9369, 14400.000000, 662065, 10400.000000, 662700
14053, 21600.000000, 1042220, 17600.000000, 1032390
21079, 32000.000000, 1637715, 29600.000000, 1626240
31618, 49600.000000, 2566900, 46400.000000, 2525620
47427, 76000.000000, 4017450, 72000.000000, 3955590
71140, 116800.000000, 6275095, 112800.000000, 6246880
106710, 178400.000000, 9787240, 175200.000000, 9702410
160065, 276800.000000, 15244185, 273600.000000, 15161195
240097, 424800.000000, 23705435, 420000.000000, 23423075
360145, 648000.000000, 36826725, 646400.000000, 36428115
540217, 991200.000000, 57121720, 996800.000000, 57130245
810325, 1513600.000000, 88534280, 1524000.000000, 88225020
1215487, 2312800.000000, 137076725, 2346400.000000, 137038630
1823230, 3543200.000000, 212007000, 3601600.000000, 210568385
2734845, 5403200.000000, 327650285, 5525600.000000, 325842955
4102267, 8452800.000000, 505746335, 8255200.000000, 500020240
