#Quick Sort
#N, Recursive, Iterative
#N, R. Time, R. Swap_Comparsion, I. Time, I. Swap_Comparsion
10, 0.000000, 54, 0.000000, 57
15, 0.000000, 156, 0.000000, 153
22, 0.000000, 342, 0.000000, 324
33, 0.000000, 651, 0.000000, 634
49, 0.000000, 1195, 0.000000, 1141
73, 0.000000, 2068, 0.000000, 2024
109, 0.000000, 3522, 0.000000, 3335
163, 0.000000, 5752, 0.000000, 5588
244, 800.000000, 9228, 0.000000, 9363
366, 800.000000, 14998, 0.000000, 15218
549, 800.000000, 24762, 0.000000, 25276
823, 1600.000000, 40018, 0.000000, 41318
1234, 1600.000000, 64872, 800.000000, 64786
1851, 1600.000000, 103230, 800.000000, 103562
2776, 2400.000000, 165049, 1600.000000, 164369
4164, 3200.000000, 265477, 2400.000000, 260905
6246, 4000.000000, 420526, 4000.000000, 420225
9369, 6400.000000, 656532, 5600.000000, 657697
14053, 9600.000000, 1039827, 8800.000000, 1044155
21079, 14400.000000, 1635872, 14400.000000, 1641967
31618, 21600.000000, 2584838, 22400.000000, 2599256
47427, 31200.000000, 4028999, 33600.000000, 4046808
71140, 47200.000000, 6330805, 49600.000000, 6290899
106710, 71200.000000, 9838606, 74400.000000, 9845015
160065, 108800.000000, 15246738, 113600.000000, 15488321
240097, 168000.000000, 23842894, 173600.000000, 24005371
360145, 260000.000000, 37101535, 264000.000000, 37055104
540217, 402400.000000, 58132897, 406400.000000, 57449554
810325, 620000.000000, 89664630, 627200.000000, 89912015
1215487, 955200.000000, 138575524, 966400.000000, 139824438
1823230, 1479200.000000, 216216103, 1492800.000000, 216707843
2734845, 2293600.000000, 337962521, 2336800.000000, 339506849
4102267, 3554400.000000, 525760882, 3585600.000000, 523938768
