#Iterative Routines
#N, Quick Sort, Merge Sort, Heap Sort
#N, Q. Time, Q. Swap_Comparsion, M. Time, M. Swap_Comparsion, H. Time, H. Swap_Comparsion
10, 0.000000, 63, 0.000000, 60, 0.000000, 75
15, 0.000000, 169, 0.000000, 160, 0.000000, 225
22, 0.000000, 345, 0.000000, 340, 0.000000, 510
33, 0.000000, 627, 0.000000, 640, 0.000000, 985
49, 0.000000, 1115, 0.000000, 1135, 0.000000, 1835
73, 0.000000, 1911, 0.000000, 2020, 0.000000, 3240
109, 0.000000, 3352, 0.000000, 3355, 0.000000, 5585
163, 0.000000, 5496, 0.000000, 5670, 0.000000, 9460
244, 0.000000, 9223, 800.000000, 9185, 0.000000, 15785
366, 0.000000, 14800, 800.000000, 15075, 0.000000, 26240
549, 0.000000, 24316, 800.000000, 25005, 800.000000, 43025
823, 0.000000, 38995, 800.000000, 40080, 1600.000000, 70220
1234, 0.000000, 63628, 1600.000000, 64855, 1600.000000, 113890
1851, 0.000000, 102863, 2400.000000, 102610, 2400.000000, 183500
2776, 800.000000, 162701, 4000.000000, 164035, 3200.000000, 294700
4164, 1600.000000, 261235, 5600.000000, 265280, 4800.000000, 470465
6246, 3200.000000, 413883, 8800.000000, 417675, 7200.000000, 749610
9369, 5600.000000, 662771, 12800.000000, 663015, 11200.000000, 1189360
14053, 9600.000000, 1041696, 19200.000000, 1033155, 16800.000000, 1882360
21079, 16000.000000, 1653012, 29600.000000, 1627270, 25600.000000, 2971730
31618, 25600.000000, 2615089, 45600.000000, 2526555, 39200.000000, 4676665
47427, 40000.000000, 4048589, 71200.000000, 3955955, 60800.000000, 7350495
71140, 63200.000000, 6342807, 109600.000000, 6246905, 96000.000000, 11523200
106710, 98400.000000, 9848350, 168000.000000, 9702205, 155200.000000, 18038270
160065, 153600.000000, 15383236, 257600.000000, 15160055, 245600.000000, 28182570
240097, 236000.000000, 23685368, 392800.000000, 23421955, 385600.000000, 43955045
360145, 366400.000000, 36818421, 600000.000000, 36425530, 608000.000000, 68476130
540217, 567200.000000, 57410787, 920800.000000, 57129040, 961600.000000, 106461565
810325, 872800.000000, 88413031, 1405600.000000, 88223780, 1526400.000000, 165426025
1215487, 1354400.000000, 138185385, 2163200.000000, 137034870, 2431200.000000, 256658430
1823230, 2101600.000000, 216152084, 3205600.000000, 210567140, 3450400.000000, 397797150
2734845, 3268000.000000, 338000801, 4594400.000000, 325838075, 4927200.000000, 615980450
4102267, 4664800.000000, 525160384, 7417600.000000, 500019095, 8593600.000000, 952434870
